year,crime_lvl1,crime_lvl2,crime_lvl3,group,detail,count
2023,특별법범,보조금관리에관한법률,소계,전과없음,소계,876
2023,특별법범,부동산실권리자명의등기에관한법률,소계,전과없음,소계,195
2023,특별법범,부정경쟁방지및영업비밀보호에관한법률,소계,전과없음,소계,198
2023,특별법범,부정수표단속법,소계,전과없음,소계,52
2023,특별법범,사행행위등규제및처벌특례법,소계,전과없음,소계,23
2023,특별법범,산림자원의조성및관리에관한법률,소계,전과없음,소계,83
2023,특별법범,산업안전보건법,소계,전과없음,소계,202
2023,특별법범,산지관리법,소계,전과없음,소계,285
2023,특별법범,상표법,소계,전과없음,소계,866
2023,특별법범,석유및석유대체연료사업법,소계,전과없음,소계,48
2023,특별법범,선박안전법,소계,전과없음,소계,15
2023,특별법범,선박직원법,소계,전과없음,소계,41
2023,특별법범,성매매알선등행위의처벌에관한법률,소계,전과없음,소계,2860
2023,특별법범,수도법,소계,전과없음,소계,26
2023,특별법범,수산업법,소계,전과없음,소계,28
2023,특별법범,수산자원관리법,소계,전과없음,소계,81
2023,특별법범,스토킹범죄의처벌등에관한법률,소계,전과없음,소계,2949
2023,특별법범,식품위생법,소계,전과없음,소계,1869
2023,특별법범,신용정보의이용및보호에관한법률,소계,전과없음,소계,2
2023,특별법범,아동?청소년의성보호에관한법률(성매수등),소계,전과없음,소계,347
2023,특별법범,아동·청소년의성보호에관한법률(성착취물등),소계,전과없음,소계,1248
2023,특별법범,아동복지법,소계,전과없음,소계,6138
2023,특별법범,액화석유가스의안전관리및사업법,소계,전과없음,소계,23
2023,특별법범,약사법,소계,전과없음,소계,305
2023,특별법범,여객자동차운수사업법,소계,전과없음,소계,184
2023,특별법범,여신전문금융업법,소계,전과없음,소계,366
2023,특별법범,영유아보육법,소계,전과없음,소계,90
2023,특별법범,예비군법,소계,전과없음,소계,904
2023,특별법범,옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,전과없음,소계,36
2023,특별법범,외국환거래법,소계,전과없음,소계,191
2023,특별법범,위험물안전관리법,소계,전과없음,소계,49
2023,특별법범,유사수신행위의규제에관한법률,소계,전과없음,소계,356
2023,특별법범,의료기기법,소계,전과없음,소계,86
2023,특별법범,의료법,소계,전과없음,소계,1287
2023,특별법범,자동차관리법,소계,전과없음,소계,5902
2023,특별법범,자동차손해배상보장법,소계,전과없음,소계,1427
2023,특별법범,자본시장과금융투자업에관한법률,소계,전과없음,소계,143
2023,특별법범,저작권법,소계,전과없음,소계,3050
2023,특별법범,전자금융거래법,소계,전과없음,소계,4102
2023,특별법범,전파법,소계,전과없음,소계,22
2023,특별법범,정보통신망이용촉진및정보보호등에관한법률,소계,전과없음,소계,3091
2023,특별법범,조세범처벌법,소계,전과없음,소계,352
2023,특별법범,주민등록법,소계,전과없음,소계,1164
2023,특별법범,주차장법,소계,전과없음,소계,25
2023,특별법범,주택법,소계,전과없음,소계,243
2023,특별법범,중대재해처벌등에관한법률,소계,전과없음,소계,5
2023,특별법범,직업안정법,소계,전과없음,소계,50
2023,특별법범,집회및시위에관한법률,소계,전과없음,소계,117
2023,특별법범,청소년보호법,소계,전과없음,소계,3993
2023,특별법범,총포?도검?화약류등의안전관리에관한법률,소계,전과없음,소계,193
2023,특별법범,최저임금법,소계,전과없음,소계,9
2023,특별법범,축산물위생관리법,소계,전과없음,소계,99
